id,title_romaji,title_english,isAdult,split
129214,Konglong Baobei: Longshen Yongshi,Konglong Baobei: Longshen Yongshi,False,train
129273,Shenbing Xiaojiang (Movie),Shenbing Xiaojiang (Movie),False,train
129290,Fu Wu Shu: 36 Ji,Fu Wu Shu: 36 Ji,False,train
129292,Fu Wu Shu: Sunzi Bingfa,Fu Wu Shu: Sunzi Bingfa,False,train
129365,Zhen Gongfu: Aoyun Zai Wo Jia,Zhen Gongfu: Aoyun Zai Wo Jia,False,train
129472,Taoqi Bao Ma Xiaotiao,Taoqi Bao Ma Xiaotiao,False,train
129473,Taoqi Bao Ma Xiaotiao,Taoqi Bao Ma Xiaotiao,False,train
129475,Hapi Fu Zi 2,Hapi Fu Zi 2,False,train
129476,Hapi Fa Zi: Yi Shui Jingang,Hapi Fa Zi: Yi Shui Jingang,False,train
129493,Xiaosong Dangjia,Xiaosong Dangjia,False,train
129495,Dongfang Shenwa Part 2,Dongfang Shenwa Part 2,False,train
131851,Heibai Long Lang Zhuan,Heibai Long Lang Zhuan,False,train
138945,Mizushiri Yoriko no Yorinuki Yoriko-san,Mizushiri Yoriko no Yorinuki Yoriko-san,False,train
169982,Sore Ike! Anpanman: Baikinman vs. Baikinman!?,Sore Ike! Anpanman: Baikinman vs. Baikinman!?,False,train
187510,Dianji Xiaozi,Electro Boy,False,train
202423,SPICY BOY,SPICY BOY,False,train
204530,Hei Lian Da Baogong,Hei Lian Da Baogong,False,train
8478,Doubutsu Kankyou Kaigi,Doubutsu Kankyou Kaigi,False,train
9518,Ichigo Ichie: Kimi no Kotoba,Ichigo Ichie: Kimi no Kotoba,False,train
10104,Loups=Garous Picture Drama,Loups=Garous Picture Drama,False,train
10114,Nintama Rantarou Movie: Ninjutsu Gakuen Zenin Shutsudou! no Dan,Nintama Rantarou Movie: Ninjutsu Gakuen Zenin Shutsudou! no Dan,False,train
10115,friends: Mononoke Shima no Naki,Friends: Naki of Monster Island,False,train
10116,Crayon Shin-chan: Arashi wo Yobu Ougon no Spy Daisakusen,Crayon Shin-chan: Arashi wo Yobu Ougon no Spy Daisakusen,False,train
10238,Hybrid Deka,Hybrid Deka,False,train
10633,Shiodome Cable TV,Shiodome Cable TV,False,train
10684,Sore Ike! Anpanman: Sukue! Kokorin to Kiseki no Hoshi,Sore Ike! Anpanman: Sukue! Kokorin to Kiseki no Hoshi,False,train
10685,Sore Ike! Anpanman: Utatte Teasobi! Anpanman to Mori no Takara,Sore Ike! Anpanman: Utatte Teasobi! Anpanman to Mori no Takara,False,train
10995,Ganbare!! Nattou-san,Ganbare!! Nattou-san,False,train
11569,Precure All-Stars DX the DANCE LIVE❤: Miracle Dance Stage e Youkoso,Precure All-Stars DX the DANCE LIVE❤: Miracle Dance Stage e Youkoso,False,train
13167,Zoobles!,Zoobles!,False,train
17104,Lolling Seutajeu (Movie),Rolling Stars (Movie),False,train
104467,Chao Wa Zhanshi,AniMen: Triton Force,False,train
108749,Annyeong Totobi,Annyeong Totobi,False,train
110491,Ya-Ne-Sen a Go Go,Ya-Ne-Sen a Go Go,False,train
112205,Kiritorisen,Kiritorisen,False,train
120831,Himitsukessha Taka no Tsume THE MOVIE 4: Kaspersky wo Motsu Otoko,Himitsukessha Taka no Tsume THE MOVIE 4: Kaspersky wo Motsu Otoko,False,train
121075,Tobidase! Dokan-kun,Tobidase! Dokan-kun,False,train
121835,Sore Ike! Anpanman: Hashire! Wakuwaku Anpanman Grand Prix,Sore Ike! Anpanman: Hashire! Wakuwaku Anpanman Grand Prix,False,train
126880,Sugar Bunnies Fleur OVA,Sugar Bunnies Fleur OVA,False,train
129166,Moer Zhuangyuan: Bing Shiji,Moer Zhuangyuan: Bing Shiji,False,train
129361,Kuaile Xiao Dongxi,Kuaile Xiao Dongxi,False,train
129478,Hapi Fa Zi: Chao Neng Pao Dan,Hapi Fa Zi: Chao Neng Pao Dan,False,train
129479,Hapi Fa Zi: Chao Neng Pao Dan 2,Hapi Fa Zi: Chao Neng Pao Dan 2,False,train
129480,Guobao Te Gong,Guobao Te Gong,False,train
129550,Seer Da Dianying: Xunzhao Fenghuang Shenshou,Seer Da Dianying: Xunzhao Fenghuang Shenshou,False,train
130673,LaLaLa Demacia,LaLaLa Demacia,False,train
131570,Xi Yangyang You Shibo,Pleasant Goat Touring the Expo,False,train
178147,"Yume Miru, Anime on-chan Season 2","Yume Miru, Anime on-chan Season 2",False,train
181832,Yasai no Yousei: N.Y. Salad The Movie,Yasai no Yousei: N.Y. Salad The Movie,False,train
186755,Qin Han Ying Xiong Zhuan,Qin Han Ying Xiong Zhuan,False,train
187061,Mei Houwang,Monkey King,False,train
199415,Xiayi Xiao Qingtian,Xiayi Xiao Qingtian,False,train
199416,Xi You Xin Zhuan,Xi You Xin Zhuan,False,train
206863,Nyuugaku Junbi DVD: Ren no Yume to Suteki na Christmas Present,Nyuugaku Junbi DVD: Ren no Yume to Suteki na Christmas Present,False,train
208835,METAL BLADE HIGH-SCHOOL,METAL BLADE HIGH-SCHOOL,False,train
11053,Doraemon: Nobita to Kiseki no Shima - Animal Adventure,Doraemon: Nobita to Kiseki no Shima - Animal Adventure,False,train
12499,Crayon Shin-chan: Arashi wo Yobu! Ora to Uchuu no Princess,Crayon Shin-chan: Arashi wo Yobu! Ora to Uchuu no Princess,False,train
13455,Zumomo to Nupepe,Zumomo to Nupepe,False,train
14047,Ikusa Otome Valkyrie G,Ikusa Otome Valkyrie G,True,train
15787,Backstage Idol Story,Backstage Idol Story,False,train
17113,Crayon Shin-chan: Bakauma! B-Kyuu Gourmet Survival Battle!!,Crayon Shin-chan: Bakauma! B-Kyuu Gourmet Survival Battle!!,False,train
18817,Yasai no Yousei: Quiz Gekijou,Yasai no Yousei: Quiz Gekijou,False,train
18919,The Midnight★Animal,The Midnight★Animal,False,train
18983,Yuuto-kun ga Iku,Yuuto-kun ga Iku,False,train
19169,Go! Go! Kadendanshi,Go! Go! Kadendanshi,False,train
19587,Kaiketsu Zorori: Mamoru ze! Kyouryuu no Tamago,Kaiketsu Zorori: Mamoru ze! Kyouryuu no Tamago,False,train
19629,Zecchou Rocket,Zecchou Rocket,True,train
19849,Peeping Life 5.0ch,Peeping Life 5.0ch,False,train
98133,Yakusoku,Promise,False,train
100983,Hana no Zundamaru,Hana no Zundamaru,False,train
102034,Ai,Love,False,train
104466,Chao Wa Zhanshi: Weiwu Jiaoguan,AniMen: The Galactic Battle,False,train
109002,Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu Picture Drama,Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu Picture Drama,False,train
114679,Tamayura: More Aggressive Picture Drama,Tamayura: More Aggressive Picture Drama,False,train
116908,Little Charo 4: Eigo de Aruku New York,Little Charo 4: New York Again,False,train
117409,Peeping Life: YouTuber-kun,Peeping Life: YouTuber-kun,False,train
118638,Jingling Meng Ye Luoli,The Guardians of Carcosa,False,train
121823,Sore Ike! Anpanman: Rhythm de Teasobi - Anpanman to Fushigi na Parasol,Sore Ike! Anpanman: Rhythm de Teasobi - Anpanman to Fushigi na Parasol,False,train
129167,Moer Zhuangyuan 2: Haiyao Baozang,Moer Zhuangyuan 2: Haiyao Baozang,False,train
129293,Fu Wu Shu: Zhanguo Fengyun,Fu Wu Shu: Zhanguo Fengyun,False,train
129301,Duo Bao Xingyun Xing 3,Duo Bao Xingyun Xing 3,False,train
129382,Baobei Nüer Hao Mama: Kuaile de Jiating,Baobei Nüer Hao Mama: Kuaile de Jiating,False,train
129383,Baobei Nüer Hao Mama: Chi Jiyi de Da Xueqiu,Baobei Nüer Hao Mama: Chi Jiyi de Da Xueqiu,False,train
129489,Guobao Te Gong 2,Guobao Te Gong 2,False,train
129551,Seer 2  Da Dianying: Leiyi Yu Maiersi,Seer 2  Da Dianying: Leiyi Yu Maiersi,False,train
129554,Seer 3  Da Dianying: Zhanshen Lianmeng,Seer 3  Da Dianying: Zhanshen Lianmeng,False,train
129584,Seer,Seer,False,train
129586,Seer 2,Seer 2,False,train
130674,LaLaLa Demacia 2,LaLaLa Demacia 2,False,train
130675,LaLaLa Demacia 3,LaLaLa Demacia 3,False,train
130745,Chao Shen Xueyuan,Chao Shen Xueyuan,False,train
131852,Tiandi Fengyun Lu: Juezhan Shike,Tiandi Fengyun Lu: Juezhan Shike,False,train
131853,Tiandi Fengyun Lu: Jiulong Bian,Tiandi Fengyun Lu: Jiulong Bian,False,train
131854,Tiandi Fengyun Lu: Jian Xing Mo Zong,Tiandi Fengyun Lu: Jian Xing Mo Zong,False,train
132512,Annyeong Jaduya Season 2,Annyeong Jaduya Season 2,False,train
139292,Shiritori Mambo,Shiritori Mambo,False,train
151281,Xiong Chumo: Guonian,Boonie Bears: Homeward Journey,False,train
183821,Otenki Pokojirou,Pokojiro's Weather Report,False,train
183822,Honnou da Zou,Passionate Elephant,False,train
185967,Choegang Top Plate,Choegang Top Plate,False,train
186753,Duo Bao Xing Yun Xing Da Dian Ying: Jin Gu Bang Chuan Qi,Duo Bao Xing Yun Xing Da Dian Ying: Jin Gu Bang Chuan Qi,False,train
193471,Dianji Xiaozi 3,Electro Boy 3,False,train
202428,Shimajirou to Korasho no Saigo no Daiundoukai Tsunage! Nakayoshi Relay,Shimajirou to Korasho no Saigo no Daiundoukai Tsunage! Nakayoshi Relay,False,train
203022,Shui Man Jinshan,Shui Man Jinshan,False,train
20795,Meshimase Lodoss-tou Senki: Sorette Oishii no?,Meshimase Lodoss-tou Senki: Sorette Oishii no?,False,train
20824,Haiyore! Nyaruko-san F,Nyaruko-san: Another Crawling Chaos F,False,train
20874,Imako System,Imako System,True,train
21047,wasimo,wasimo,False,train
21052,Super Short Comics,Super Short Comics,False,train
21478,Shinkyoku no Grimoire THE ANIMATION,Shinkyoku no Grimoire THE ANIMATION,True,train
21535,PANDRA THE ANIMATION: Shiroki Yokubou Kuro no Kibou,"PANDRA THE ANIMATION White Lust, Black Hope",True,train
21618,Furueru Kuchibiru: fuzzy lips 0,Furueru Kuchibiru: fuzzy lips 0,True,train
21724,Panpaka Pants O-NEW!,Panpaka Pants O-New!,False,train
21883,X Maiden: Izakaya Tamaki,X Maiden: Izakaya Tamaki,False,train
98893,Spo-chan Taiketsu: Youkai Daikessen,Spo-chan Taiketsu: Youkai Daikessen,False,train
100291,Doraemon: Nobita no Space Heroes,Doraemon: Nobita no Space Heroes,False,train
102985,Gui Bao: Baoxiao Chuang Yuzhou,Kwai Boo,False,train
105049,GO-GO Tamagotchi!,GO-GO Tamagotchi!,False,train
108993,Astareul Hyanghae Chaguchagu,Astareul Hyanghae Chaguchagu,False,train
108994,Baby Gamba,Baby Gamba,False,train
109003,Code Geass: Boukoku no Akito 3 - Kagayakumono Ten Yori Otsu Picture Drama,Code Geass: Boukoku no Akito 3 - Kagayakumono Ten Yori Otsu Picture Drama,False,train
109004,Code Geass: Boukoku no Akito 4 - Nikushimi no Kioku Kara Picture Drama,Code Geass: Boukoku no Akito 4 - Nikushimi no Kioku Kara Picture Drama,False,train
109939,Qin Shi Mingyue: Kong Shan Niao Yu,Qin Shi Mingyue: Kong Shan Niao Yu,False,train
115406,Kikyou,Kikyou,False,train
115764,Panpaka Pants Movie: Bananan Oukoku no Hihou,Panpaka Pants Movie: Bananan Oukoku no Hihou,False,train
116160,Yuuto-kun ga Iku Movie,Yuuto-kun ga Iku Movie,False,train
117284,Himitsukessha Taka no Tsume EX,Himitsukessha Taka no Tsume EX,False,train
117285,Himitsukessha Taka no Tsume DO,Himitsukessha Taka no Tsume DO,False,train
119399,Na Nian Na Tu Naxie Shir 1,Na Nian Na Tu Naxie Shir 1,False,train
119400,Na Nian Na Tu Naxie Shir 2,Na Nian Na Tu Naxie Shir 2,False,train
119795,Mori no Ongaku-dan,Mori no Ongaku-dan,False,train
121081,Kana Kana Kazoku x Himitsukessha Taka no Tsume Collaboration Film,Kana Kana Kazoku x Himitsukessha Taka no Tsume Collaboration Film,False,train
121717,Ohayou Hakushon Daimaou,Ohayou Hakushon Daimaou,False,train
125271,GON 2nd Season,GON 2nd Season,False,train
127115,Funassyi to Yukaina Kyoudai,Funassyi to Yukaina Kyoudai,False,train
129168,Moer Zhuangyuan 3: Mohuan Lieche Da Maoxian,Moer Zhuangyuan 3: Mohuan Lieche Da Maoxian,False,train
129297,Q-ban Sanguo: San Xiao Qiang (Movie),Q-ban Sanguo: San Xiao Qiang (Movie),False,train
129490,Guobao Te Gong 3,Guobao Te Gong 3,False,train
129556,Seer 4  Da Dianying: Sheng Mo Zhi Shan,Seer 4  Da Dianying: Sheng Mo Zhi Shan,False,train
129561,Seer 5  Da Dianying: Leishen Jueqi,Seer 5  Da Dianying: Leishen Jueqi,False,train
129587,Seer 3,Seer 3,False,train
129592,Seer 4,Seer 4,False,train
129593,Seer 5,Seer 5,False,train
129656,Meishi Da Maoxian,Meishi Da Maoxian,False,train
129657,Meishi Da Maoxian 2,Meishi Da Maoxian 2,False,train
129729,Yuan Ri,Yuan Ri,False,train
129771,Bu Keneng Lianai?,Bu Keneng Lianai?,False,train
129873,Hong Lingjin Yu Wang Xiaoming,Hong Lingjin Yu Wang Xiaoming,False,train
130759,Chao Shen Xueyuan 2,Chao Shen Xueyuan 2,False,train
130761,Chao Shen Xueyuan 3: Shen Yu Shen,Chao Shen Xueyuan 3: Shen Yu Shen,False,train
131642,Shimajirou to Ookinaki,Shimajirou to Ookinaki,False,train
131855,Tiandi Fengyun Lu: Mo Lu Xuezhan,Tiandi Fengyun Lu: Mo Lu Xuezhan,False,train
131857,Jin Guang Yu Jiu Jie: Mo Wuxia Feng,Jin Guang Yu Jiu Jie: Mo Wuxia Feng,False,train
131859,Jin Guang Yu Jiu Jie: Mo Shi Fu Jie,Jin Guang Yu Jiu Jie: Mo Shi Fu Jie,False,train
131860,Jin Guang Yu Jiu Jie: Mo Xie Lu,Jin Guang Yu Jiu Jie: Mo Xie Lu,False,train
132346,Gwahak Masuldan,Gwahak Masuldan,False,train
132513,Annyeong Jaduya 3 Special,Annyeong Jaduya 3 Special,False,train
140140,AK Mofa Shaonü,AK Mofa Shaonü,False,train
141310,Wo De Pengyou Zhu Dick,Wo De Pengyou Zhu Dick,False,train
142517,Kobitos,Kobitos,False,train
154169,Batou Shoujo #2,Batou Shoujo #2,False,train
166035,Overlord: Ple Ple Pleiades Tokubetsu-hen,Overlord: Ple Ple Pleiades Tokubetsu-hen,False,train
174844,Sore Ike! Anpanman: Mija to Mahou no Lamp,Sore Ike! Anpanman: Mija to Mahou no Lamp,False,train
176874,Sore Ike! Anpanman: Tanoshiku Teasobi Mama ni Natta Kokin-chan!?,Sore Ike! Anpanman: Tanoshiku Teasobi Mama ni Natta Kokin-chan!?,False,train
176875,Sore Ike! Anpanman: Rhythm de Utaou! Anpanman Natsumatsuri,Sore Ike! Anpanman: Rhythm de Utaou! Anpanman Natsumatsuri,False,train
181642,Tamagotchi! Tama Tomo Daishuu Go,Tamagotchi! Tama Tomo Daishuu Go,False,train
186754,Duo Bao Xing Yun Xing Da Dian Ying: Jin Gu Bang Chuan Qi 2 - Sha Seng De Ni Xi,Duo Bao Xing Yun Xing Da Dian Ying: Jin Gu Bang Chuan Qi 2 - Sha Seng De Ni Xi,False,train
188815,Choegangjeonsa Mini Teukgongdae: Saeroun Akdangui Seupgyeok,Choegangjeonsa Mini Teukgongdae: Saeroun Akdangui Seupgyeok,False,train
200377,Xuccess Heaven,Xuccess Heaven,False,train
204622,Jiu Cang Miao Wo,Jiu Cang Miao Wo,False,train
21725,Panpaka Pants W-O NEW!,Panpaka Pants W-O New!,False,train
21768,Osiris no Tenbin 2,Osiris no Tenbin 2,False,train
97906,Chou Do M na Hentai Mesu-tachi Otokoton Choukyou Itashimasu!,Chou Do M na Hentai Mesu-tachi Otokoton Choukyou Itashimasu!,True,train
97916,Mutsugo to Ouma no Monogatari,Mutsugo to Ouma no Monogatari,False,train
101907,Zhanguo FAN,Zhanguo FAN,False,train
102101,Master of Torque 3,Master of Torque 3,False,train
102102,Master of Torque Epilogue,Master of Torque Epilogue,False,train
103334,CMFU Xueyuan: Wangzi Peng Peng Qiu,CMFU College - Prince Touch Ball,False,train
104364,Nüsheng Sushe Richang,Nüsheng Sushe Richang,False,train
109005,Code Geass: Boukoku no Akito Saishuushou - Itoshiki Mono-tachi e Picture Drama,Code Geass: Boukoku no Akito Saishuushou - Itoshiki Mono-tachi e Picture Drama,False,train
109871,Turning Mecard W,Turning Mecard W,False,train
112470,Kidou Senshi Gundam-san: Hiyoko days - Suisei Hiyoko to Fushigi na Ofuda,Kidou Senshi Gundam-san: Hiyoko days - Suisei Hiyoko to Fushigi na Ofuda,False,train
113330,PePePePengiin,PePePePengiin,False,train
116150,Jewelpet: Attack Chance!?,Jewelpet: Attack Chance!?,False,train
117286,Himitsukessha Taka no Tsume GT,Himitsukessha Taka no Tsume GT,False,train
117287,Taka no Tsume 8: Yoshida-kun no Batten File,Taka no Tsume 8: Yoshida-kun no Batten File,False,train
119401,Na Nian Na Tu Naxie Shir 3,Na Nian Na Tu Naxie Shir 3,False,train
121475,San Jian Hao: Banmian Ren,San Jian Hao: Banmian Ren,False,train
123139,Xin Hulu Xiongdi,Xin Hulu Xiongdi,False,train
126179,Ippou Nippon Mukashibanash,Ippou Nippon Mukashibanash,False,train
129219,Tai Yi Xian Mo Lu: Ling Fei Ji,Tai Yi Xian Mo Lu: Ling Fei Ji,False,train
129492,Guobao Te Gong: Shuigou Da Taowang,Guobao Te Gong: Shuigou Da Taowang,False,train
129596,Seer 7,Seer 7,False,train
129730,Xiangsi,Xiangsi,False,train
130762,Chao Shen Xueyuan: Zhi Hei Jia,Chao Shen Xueyuan: Zhi Hei Jia,False,train
131641,Shimajirou to Ehon no Kuni,Shimajirou to Ehon no Kuni,False,train
131753,Zhiqu Yang Xuetang: Dong Zhi Wu Pian,Pleasant Goat Fun Class: Animals & Plants,False,train
131754,Zhiqu Yang Xuetang: Yundong Pian,Pleasant Goat Fun Class: Sports are Fun,False,train
131765,Xi Yangyang Yu Hui Tailang: Man Jing Tou,Xi Yangyang Yu Hui Tailang: Man Jing Tou,False,train
131883,Jin Guang Yu Jiu Jie: Dong Huang Zhan Ying,Jin Guang Yu Jiu Jie: Dong Huang Zhan Ying,False,train
132347,Maeumuisori,Maeumuisori,False,train
135460,Oniku Daisuki! Zeushi-kun (3-ki): Suteki na Hamburger,Oniku Daisuki! Zeushi-kun (3-ki): Suteki na Hamburger,False,train
139727,Congming De Shunliu,Congming De Shunliu,False,train
141311,Zhu Dick: Guguai Dao Da Maoxian Ⅰ,Zhu Dick: Guguai Dao Da Maoxian Ⅰ,False,train
150580,Yichan Xiao Heshang,Yichan Xiao Heshang,False,train
169933,Yiqi Lai Kan Liuxing Yu,Yiqi Lai Kan Liuxing Yu,False,train
174843,Sore Ike! Anpanman: Omocha no Hoshi no Nanda to Runda,Anpanman: Nanda and Runda from the Star of Toys,False,train
176877,Uchuu Neko: Mardock no Bouken,Uchuu Neko: Mardock no Bouken,False,train
188816,Choegangjeonsa Mini Teukgongdae: Yeongungui Tansaeng,Mini Force: New Heroes Rise,False,train
99582,Guru Guru Puchi Anime Gekijou,Guru Guru Puchi Anime Gekijou,False,train
99884,Arad: Suming Zhi Men,Arad: Suming Zhi Men,False,train
102002,Xiong Bing Lian,Xiong Bing Lian,False,train
102055,Mu Wang Zhi Wang: Han Tie Dou,Mu Wang Zhi Wang: Han Tie Dou,False,train
102057,Mu Wang Zhi Wang: Xuan Guan Si,Mu Wang Zhi Wang: Xuan Guan Si,False,train
103333,CMFU Xueyuan: Shenshi Ji Jijian,CMFU Xueyuan: Shenshi Ji Jijian,False,train
