id,title_romaji,description,description_source
129472,Taoqi Bao Ma Xiaotiao,,not_found
129473,Taoqi Bao Ma Xiaotiao,,not_found
129475,Hapi Fu Zi 2,"A civilization that disappeared in the dust, the ancient bosses sought their own way to become emperors. Jiang Hao, a modern young man who was originally a chess piece, stepped into the prehistoric wilderness in order to find the whereabouts of his father. With his incomplete ""power bank"" totem, he fought with people, from primitive tribes to the mysterious ancient city, he fought his way out; he fought with the earth, crossed the wilderness, hunted ancient beasts, and learned the ancient and mysterious totem witchcraft from the beasts; he fought with the sky, and the magic light from the sky suddenly appeared, wanting to devour this magnificent six wastelands. He went upstream, ignited himself, turned into the sun, and fought with the devil! He was shaking the world, but he didn't know that the shackles of fate had already trapped him, and his father's smile was still lingering.

(Source: Youku, translated)",jikan_mal
129476,Hapi Fa Zi: Yi Shui Jingang,"Tottoko Hamutaro Hai! is the sequel to Tottoko Hamutaro, or in English, Hamtaro. The series revolves around the 15 original Ham-Hams in short 5-minute episodes. The Hai! series is animated differently from the original series, most notably, the head-to-body ratio is off, and it is also computer-generated in 3-D. 

(Source: Wikipedia)",jikan_mal
129493,Xiaosong Dangjia,,not_found
129495,Dongfang Shenwa Part 2,"Seeking to restore humanity's diminishing hope, the Survey Corps embark on a mission to retake Wall Maria, where the battle against the merciless ""Titans"" takes the stage once again.

Returning to the tattered Shiganshina District that was once his home, Eren Yeager and the Corps find the town oddly unoccupied by Titans. Even after the outer gate is plugged, they strangely encounter no opposition. The mission progresses smoothly until Armin Arlert, highly suspicious of the enemy's absence, discovers distressing signs of a potential scheme against them. 

Shingeki no Kyojin Season 3 Part 2 follows Eren as he vows to take back everything that was once his. Alongside him, the Survey Corps strive—through countless sacrifices—to carve a path towards victory and uncover the secrets locked away in the Yeager family's basement.

[Written by MAL Rewrite]",jikan_mal
131851,Heibai Long Lang Zhuan,,not_found
138945,Mizushiri Yoriko no Yorinuki Yoriko-san,A collection of tender and seemingly unconnected episodes of sparse dream-like animation. The first episode features a train dropping a pudding onto the tracks...,jikan_mal
169982,Sore Ike! Anpanman: Baikinman vs. Baikinman!?,,not_found
187510,Dianji Xiaozi,,not_found
202423,SPICY BOY,,not_found
204530,Hei Lian Da Baogong,,not_found
8478,Doubutsu Kankyou Kaigi,"The Animal Conference on the Environment is a fun animated series through which children can learn about environmental issues and explore different cultures. Animals from all over the world, each with their own unique personality and backstory, get together and discuss the environment around them. By sharing information, prejudices, and misconceptions, they come to understand each other and value the environment.

(Source: Official site)",jikan_mal
9518,Ichigo Ichie: Kimi no Kotoba,"No synopsis has been added for this series yet.

Click here to update this information.",jikan_mal
10104,Loups=Garous Picture Drama,"Picture drama and pilot released on the Loups=Garous #Overture BluRay. It was a stand-alone release separate from the film, it contained various bonus material like the picture drama and pilot as well as staff interviews and trailers.",jikan_mal
10114,Nintama Rantarou Movie: Ninjutsu Gakuen Zenin Shutsudou! no Dan,"The Ninjutsu Academy students return from summer break to hear that due to one of Komatsuda's mistakes, all their summer homework was mixed up. As a result Kisanta, who received an assignment meant for a sixth year, has gone missing after trying to sneak into Oomagatoki Castle to steal their lord's fundoshi. A group including Shinbei and Kirimaru is sent to rescue him, but since Oomagatoki is at war with Tasogaredoki Castle it might be a difficult mission. 

At the same time, Ninjutsu Academy receives a request for support from a village troubled by the war, and Rantarou and the remaining students and teachers head there to help out.",jikan_mal
10115,friends: Mononoke Shima no Naki,"On an island, legend has it that monsters have lived there since ancient times. Because of this, the residents have named the island “Monster Island.” In actuality, the monsters living on the island are friendly, but live in fear of humans. A child named Kotake wanders onto the island. A grumpy red ogre named Naki ends up taking care of the child. What strange things might this encounter cause?",jikan_mal
10116,Crayon Shin-chan: Arashi wo Yobu Ougon no Spy Daisakusen,"Comical action spy film including an indecent material (flatus) and a story of a girl who had obeyed her parents, but becomes self-aware. A mystery spy girl Lemon Sunomono suddenly appears in front of Shinnosuke, and she calls herself an emissary of Action Kamen. She had trained as a spy by her parents in the Sukashipestan Republic, and works for the Queens. Under her guidance, Shinnosuke decides to be a spy to fight for justice, and receives spy training. Under the instruction of Action Kamen, Lemon and Shinnosuke perform a mission to creep into the laboratory in the Hedelna Kingdom and recapture a capsule from an evil professor, but Lemon finds the real purpose of the Queens, and they fight to foil the plot of the Queens. 

(Source: Manabu Tsuribe)",jikan_mal
10238,Hybrid Deka,"A Himitsukessha Taka no Tsume spin-off movie sponsored entirely by Toyota which had a limited theatrical run; in order to promote their hybrid car line. In the film, the Chancellor takes a break from Eagle Talon to become a struggling section chief of the Metropolitan Police Department Hybrid Division (which was born from the consolidation of several ministries for financial reasons).",jikan_mal
10633,Shiodome Cable TV,,not_found
10684,Sore Ike! Anpanman: Sukue! Kokorin to Kiseki no Hoshi,23rd Anpanman short movie.,jikan_mal
10685,Sore Ike! Anpanman: Utatte Teasobi! Anpanman to Mori no Takara,,not_found
10995,Ganbare!! Nattou-san,"No synopsis has been added for this series yet.

Click here to update this information.",jikan_mal
11569,Precure All-Stars DX the DANCE LIVE❤: Miracle Dance Stage e Youkoso,"Precure All-Stars DX the Dance Live: Miracle Dance Stage e Youkoso is an all-in-3D dance production featuring the Pretty Cures from seasons Futari wa Pretty Cure Max Heart through to Suite Pretty Cure♪ (sans Cure Muse). 

The production lasts for 10 minutes, and is done entirely in stereoscopic 3D, featuring a medley of songs from the different DX movies, as well as some brand new songs. The dance production itself was released in movie theatres on 5 August 2011, accompanied by the release of a brand new single, Pretty Cure All Stars 3D Theatre Theme Song Single. The movie starts when a pink shooting star falls down from the night sky and soughts out a toy store, striking one of the Cure Dolls of Melody on display. The Melody Doll comes alive, freeing herself from her box. Jumping to the floor, she explores the toy store when she hears the noise of a crowd coming from outside. Running out of the store, she discovers a huge TV screen which reflects a ""real-life"" image of herself. Playing around with it, she is soon joined by a Cure Doll of Rhythm. The two spot Hummy, waiting several floors down on the dance floor, who waved at them and sends up two rainbow keyboards to the Cure Dolls. Nodding to each other, the two slide down the keyboard onto the dance floor, and the concert began. The concert ends with a shot of the huge TV screen shown during the introduction. The 3 Suite♪ Cures are seen smiling and waving at the audience, and as the shot zoomed out, the 3 Cure Dolls are shown at the bottom of the screen.

(Source: Pretty Cure Wiki)",jikan_mal
13167,Zoobles!,"The Candy Factory is a place where all Zoobles are born. Beyond that factory is a world called Candy Land, where all Zoobles live. The story revolves around the three main Zoobles: Chevy, a Cat Zooble with an Orange Flavour; Coron, a Rabbit Zooble with a Strawberry Milk Flavour; and Panky, a Panda Zooble with a Blueberry Yogurt Flavour. The three of them live in Candy Town, and they get into serious misadventures as they try to get in (and out of) trouble.

(Source: AniDB)",jikan_mal
17104,Lolling Seutajeu (Movie),,not_found
104467,Chao Wa Zhanshi,,not_found
108749,Annyeong Totobi,,not_found
110491,Ya-Ne-Sen a Go Go,"A short film by ShiShi Yamazaki which depicting herself dancing through the Yanaka, Nezu, and Sendagi areas of Taitou, Tokyo.",jikan_mal
112205,Kiritorisen,,not_found
120831,Himitsukessha Taka no Tsume THE MOVIE 4: Kaspersky wo Motsu Otoko,"Fourth film in the Secret Society Eagle Talon film series. Initially released directly to DVD, but was later screened at TOHO Cinemas Roppongi Hills.",jikan_mal
121075,Tobidase! Dokan-kun,"The fifth season of the Dokan-kun franchise. It aired within the ""Dejisuta Teens"" variety program.",jikan_mal
121835,Sore Ike! Anpanman: Hashire! Wakuwaku Anpanman Grand Prix,"The Anpanman Grand Prix is a land, air and sea race around Anpanman World using specially built cars. A grumpy young girl from Flower Land called Maggie causes an accident that wrecks Creampanda’s race car. After helping him fix it, she enters the race as his partner.

(Source: Shiteater Subs)",jikan_mal
126880,Sugar Bunnies Fleur OVA,"Sequel to Sugar Bunnies Chocolate!

Aired inside the anime corner of the Kitty's Paradise TV block.",jikan_mal
129166,Moer Zhuangyuan: Bing Shiji,,not_found
129361,Kuaile Xiao Dongxi,,not_found
129478,Hapi Fa Zi: Chao Neng Pao Dan,"Tottoko Hamutaro Hai! is the sequel to Tottoko Hamutaro, or in English, Hamtaro. The series revolves around the 15 original Ham-Hams in short 5-minute episodes. The Hai! series is animated differently from the original series, most notably, the head-to-body ratio is off, and it is also computer-generated in 3-D. 

(Source: Wikipedia)",jikan_mal
129479,Hapi Fa Zi: Chao Neng Pao Dan 2,"Tottoko Hamutaro Hai! is the sequel to Tottoko Hamutaro, or in English, Hamtaro. The series revolves around the 15 original Ham-Hams in short 5-minute episodes. The Hai! series is animated differently from the original series, most notably, the head-to-body ratio is off, and it is also computer-generated in 3-D. 

(Source: Wikipedia)",jikan_mal
129480,Guobao Te Gong,"The plot follows Kung Fu kid Dodo Lee, who dreams of being a star at Oscar Lei's studio but is stuck as a puppeteer in his never satisfied father's show. When Dodo encounters super star Kitty Mo, dream and reality clash and the pair find themselves in a fight between good and evil orchestrated by the power crazed Oscar.

(Source: IMDb)",jikan_mal
129550,Seer Da Dianying: Xunzhao Fenghuang Shenshou,"An uncut version of episode six, involving Kamina's hopes of seeing Yoko and The Black Siblings naked, even at the risk of his friends' safety. 

(Source: Wikipedia)",jikan_mal
130673,LaLaLa Demacia,"The script draws on various game culture that players enjoy in the game League of Legends, and uses a humorous, light-hearted and funny story style to realistically restore the fun and battle life of League of Legends players in the game.",jikan_mal
131570,Xi Yangyang You Shibo,,not_found
178147,"Yume Miru, Anime on-chan Season 2","A children's series featuring on-chan, the television station HTB's mascot character. On-chan has appeared in parades and various promotions for the station since 1997.",jikan_mal
181832,Yasai no Yousei: N.Y. Salad The Movie,It is based on N.Y.SALAD written by Yoshitaka Amano. It depicts lives of vegetable fairies at a kitchen in N. Y.,jikan_mal
186755,Qin Han Ying Xiong Zhuan,,not_found
187061,Mei Houwang,,not_found
199415,Xiayi Xiao Qingtian,,not_found
199416,Xi You Xin Zhuan,"It tells the story of the four disciples—Tang Sanzang, Sun Wukong, Zhu Bajie, and Sha Wujing—on their long journey to obtain Buddhist scriptures, where they vanquish demons and monsters. The entire series is humorous, witty, and full of imagination.

(Source: Baidu Baike, translated)",jikan_mal
206863,Nyuugaku Junbi DVD: Ren no Yume to Suteki na Christmas Present,,not_found
208835,METAL BLADE HIGH-SCHOOL,,not_found
11053,Doraemon: Nobita to Kiseki no Shima - Animal Adventure,"Nobita and his dad buy a big rhinoceros beetle, which he promises to his dad to take good care of it. Later, Doraemon's group finds a strange island where a tribe co-exists with prehistoric creatures long believed to extinct yet preserved by a mythical beetle spirit named Golden Hercules. However, the group has to deal with a group of criminals from the future who intend to capture Golden Hercules for a profit.

(Source: Wikipedia)",jikan_mal
12499,Crayon Shin-chan: Arashi wo Yobu! Ora to Uchuu no Princess,"An action comedy set in the solar system, about a row over Himawari, Shinnosuke's younger sister, between the Nohara family and aliens. Shinnosuke has a fight with Himawari, because she ate his crème caramel. Suddenly, two mysterious men appear and Shinnosuke signs an agreement to leave her with them. They abduct the Nohara family to the Planet Himawari by UFO. On the Planet Himawari, Sunday Goronesky the Great says Himawari needs to be the princess of the planet in order to save the Earth and the Planet Himawari from the fateful crisis.

(Source: Manabu Tsuribe)",jikan_mal
13455,Zumomo to Nupepe,"No synopsis has been added for this series yet.

Click here to update this information.",jikan_mal
14047,Ikusa Otome Valkyrie G,"Trapped in the depths of the Duke's castle are three of the revered goddesses known as Valkyries. Their names are Reia, Ariya, and Hildegard. After being captured by the demon king's army, they were attacked ceaselessly. Their wills and sanity destroyed, they are now slaves to physical pleasure.",jikan_mal
15787,Backstage Idol Story,"BiS (Brand-new idol society) is a real idol group in Japan that gets animated!

The anime is composed of two segments. The first one is dressing room talk such as about what to do with rambunctious fans and how annoying it is to have to deal with worn out underwear and menstruation. The second one is composed of an ad-lib talk round-table talk with an invited guest.",jikan_mal
17113,Crayon Shin-chan: Bakauma! B-Kyuu Gourmet Survival Battle!!,"Comical adventure story starring Kasukabe Defense Forces and dealing with ""food"" as theme. Kasukabe Defense Forces (Shinnosuke and his mates: Kazama-kun, Nene-chan, Masao-kun and Bo-chan) decide to attend ""B-class Gourmet Carnival"", a big event in Kasukabe, without their parents, to eat very tasty yakisoba sauce cooked by ""Sauce's Ken"". On the way, a mystery woman asks them to bring a legendary sauce to Sauce's Ken. They head to the event site with the sauce, but they wander off into a mountain, and ""A-class Gourmet Organization"", an organization plotting to eliminate B-class gourmet, seeks to take the sauce away from them.

(Source: Manabu Tsuribe)",jikan_mal
18817,Yasai no Yousei: Quiz Gekijou,,not_found
18919,The Midnight★Animal,"The story is set in Savannah's 2nd district, where diva-like animals gather in the dead of night to wax poetic about topics that transcend gender.

(Source: ANN)",jikan_mal
18983,Yuuto-kun ga Iku,,not_found
19169,Go! Go! Kadendanshi,,not_found
19587,Kaiketsu Zorori: Mamoru ze! Kyouryuu no Tamago,"Three main characters — Zorori, Ishishi, and Noshishi — get a letter from their friend (a dinosaur mother) to come see some dinosaur eggs because they are going to hatch soon. 

When they get to the legendary dinosaur island, they are greeted with a warm welcome. However, a huge typhoon hits the island and the eggs go missing. Zorori goes on a quest to save the eggs and have them safely returned to their families.

(Source: ANN)",jikan_mal
19629,Zecchou Rocket,Based on an adult manga by Taropun.,jikan_mal
19849,Peeping Life 5.0ch,,not_found
98133,Yakusoku,"The video can be considered a prequel to Saikai.

Similarly, there are two versions of the video that are sung by Hatsune Miku on Niconico, and Harumaki Gohan on YouTube, both focus on a different girl.",jikan_mal
100983,Hana no Zundamaru,Based on the Ninja Awate-maru comedy manga by Jirou Tsunoda.,jikan_mal
102034,Ai,"Official music video for Makura Izumi's song Love which was also released on the album ""Ai Naraba Shitte Iru.""",jikan_mal
104466,Chao Wa Zhanshi: Weiwu Jiaoguan,"Millennia ago, a ferocious nomadic tribe uncovered a forbidden lair of data crystals. These crystals gave the SWARM tribe advanced knowledge of warfare and genetic manipulation. Like wildfire, their vast empire soon spread across the galaxy, conquering and destroying everything in their path. The few survivors brave enough to fight back rose from the ashes. This is their story.

(Source: Amazon)",jikan_mal
109002,Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu Picture Drama,Special included in the Code Geass: Boukoku no Akito 2 BD/DVD release.,jikan_mal
114679,Tamayura: More Aggressive Picture Drama,Picture drama included in the 1st Blu-ray and DVD volumes.,jikan_mal
116908,Little Charo 4: Eigo de Aruku New York,,not_found
117409,Peeping Life: YouTuber-kun,YouTuber-kun meeting different YouTube celebrities.,jikan_mal
