id,release_year,release_quarter,split_pre_release_effective,is_model_split,popularity,meanScore,popularity_quarter_pct,popularity_quarter_bucket,title_romaji,title_english,description,coverImage_extraLarge,coverImage_large,coverImage_medium,bannerImage,trailer_id,trailer_site,trailer_thumbnail,has_text_description,has_cover_image,has_banner_image,has_trailer
2833,1965,2.0,train,True,819.0,57,1.0,top_75_100,Gulliver no Uchuu Ryokou,Gulliver's Travels: Beyond the Moon,"Ted meets the aged professor Gulliver in a deep, dark forest. Accompanied by Mack the dog, a toy soldier called The General, and the Crow, the two set off on a journey to the Planet of Blue Hope in their spaceship the Gulliver.<br><br>
(Source: AniDB)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/2833.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/2833.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/2833.jpg,,,,,True,True,False,False
3743,1964,,holdout_unknown,False,748.0,47,,,Satsujin MURDER,Murder,"Short animated film by acclaimed multi-talented artist WADA Makoto. In 1964, Murder won the third ever Oofuji Noburou Award at the Mainichi Film Awards.",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/3743.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/3743.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/3743.jpg,,,,,True,True,False,False
3905,1963,2.0,train,True,1843.0,64,1.0,top_75_100,Wanpaku Ouji no Orochi Taiji,"Orochi, the Eight-Headed Dragon","This anime film tells the story of the god Susanoo (as a cute boy), whose mother Izanami had passed away. He was deeply hurt by the loss of his mother, but his father Izanagi told him that once she had died, she had gone to the heavens. Despite Izanagi's warnings, Susanoo eventually sets off to find her. Along with his companions Akahana (a little talking rabbit) and Taitanbo (a strong but friendly giant from the Land of Fire), Susanoo overcomes all obstacles in his long, wonderous voyage. He eventually comes to the Izumo Province, where he meets a little girl, Princess Kushinada, whom he becomes friends with (He also thought she was so beautiful that she looks like his mother Izanami). Kushinada's family tells Susanoo that their other seven daughters were sacrificed to the fearsome eight-headed serpent, the Orochi. Susanoo was so infatuated with Kushinada that he decided to help her family protect her and slay the Orochi once and for all, as he, Akahana and Taitanbo prepare for the spectacular showdown . . .<br><br>
(Source: nationmaster.com)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx3905-uu3lXujtSS6M.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx3905-uu3lXujtSS6M.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx3905-uu3lXujtSS6M.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/3905-sVCTDm9yYTmj.jpg,,,,True,True,True,False
3990,1943,2.0,train,True,1109.0,52,1.0,top_75_100,Kumo to Tulip,,"A spider attempts to lure a ladybug into his web. When she manages to escape and hide in a tulip, a storm comes that batters the spider, while the ladybug remains safe.",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/3990.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/3990.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/3990.jpg,,,,,True,True,False,False
4088,1965,3.0,train,True,569.0,73,1.0,top_75_100,Wonder 3,The Amazing 3,"The Amazing 3 is an Osamu Tezuka manga and a black and white anime series. It involved the adventures of three agents from outer space who were sent to Earth to determine whether the planet, a potential threat to the universe, should be destroyed. The instrument of destruction is a device resembling a large black ball with two antennae that is variously called an anti-proton bomb, a solar bomb, and a neutron bomb. Although the three agents (Captain Bokko, Nokko, and Pukko) are originally humanoid in appearance, upon arrival on Earth they take on the appearances of a rabbit (Bokko), a horse (Nokko), and a duck (Pukko) that they had captured as examples of Earth life forms. While on Earth they travel in a tire-shaped vehicle capable of enormous speeds called the Big Wheel, which can travel on both land and water (and, with modifications, through the air).<br><br>
The series tackles a number of issues which were surprisingly progressive for an animated cartoon of that period; particularly ecological concerns and poverty.",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx4088-WyPwy66PcLtM.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx4088-WyPwy66PcLtM.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx4088-WyPwy66PcLtM.jpg,,c7snhrdjhn8,youtube,https://i.ytimg.com/vi/c7snhrdjhn8/hqdefault.jpg,True,True,False,True
4481,1960,3.0,train,True,1642.0,56,1.0,top_75_100,Saiyuuki,Alakazam the Great,"Alakazam is a young and brave monkey who convinces all the other monkeys to make him their king. After attaining the throne and learning magic, he becomes so vain that he goes to heaven to challenge the gods. He is defeated by King Amo, and sentenced to serve as the bodyguard of Prince Amat in order to learn humility.
<br>
---
<br>
Osamu Tezuka was named as a director of the film by Toei Company. However, Tezuka later stated that the only time he was in the studio was to pose for publicity photos. His involvement in promoting the film, however, led to his interest in animation.


",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx4481-teZlyolwFmuG.png,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx4481-teZlyolwFmuG.png,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx4481-teZlyolwFmuG.png,https://s4.anilist.co/file/anilistcdn/media/anime/banner/n4481-VruxM6ssgKty.jpg,,,,True,True,True,False
4513,1958,4.0,train,True,2544.0,56,1.0,top_75_100,Hakujaden,Panda and the Magic Serpent,"As a young boy, Xu-Xian is forced to free his pet, a small snake. Unbeknownst to him, the snake is actually a young snake goddess named Bai-Niang and she is in love with him. Many years later, when they are both adults, the princess is magically transformed into a human and sets out to find her love. But the local wizard believes her to be a vampire, and banishes Xu-Xian from the village in order to save him. Xu-Xian's pet pandas Panda and Mimi set out to save him and bring him, in the process becoming leaders of an animal gang.
<br><br>
(Source: Anime News Network)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b4513-CimSIpSc6u3Z.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b4513-CimSIpSc6u3Z.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/b4513-CimSIpSc6u3Z.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/4513-gnFAqZMVBfoj.jpg,,,,True,True,True,False
4948,1959,4.0,train,True,1090.0,56,1.0,top_75_100,Shounen Sarutobi Sasuke,Magic Boy,"""Magic Boy"" was the first ever Japanese animation to be released theatrically in North America. <br><br>
Sasuke, a boy vexed by an evil witch, studies magic and uses his powers to defeat her. <br><br>
(Source: bcdb) ",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx4948-jCgpSVUX3srk.png,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx4948-jCgpSVUX3srk.png,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx4948-jCgpSVUX3srk.png,,,,,True,True,False,False
5052,1963,4.0,train,True,888.0,55,0.9,top_75_100,8 Man,8 Man,"A private investigator working a routine case involving stolen technology is mortally wounded. His only hope for survival comes from sacrificing his humanity to become 8Man -- a powerful cyborg crime-fighter enhanced with a living human brain. Resurrected as the ultimate high-tech vigilante, it is up to 8Man to bring the lawless to justice and put an end to the escalating cycle of violence. A classic animated thriller that will leave you breathless.<br><br>
(Source: AnimeNfo.com)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx5052-fsrQbKbJqNfS.png,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx5052-fsrQbKbJqNfS.png,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx5052-fsrQbKbJqNfS.png,,,,,True,True,False,False
5662,1947,4.0,train,True,747.0,54,1.0,top_75_100,Suteneko Tora-chan,,A family of cats find a homeless kitten and take him in to their home.  But one of the siblings becomes jealous about the attention the new cat gets from her mother and runs away from home.  The new member of the family goes looking for her.  Can he bring her back home safely and get her to accept him as part of the family?,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b5662-GvO96VG3zeaO.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b5662-GvO96VG3zeaO.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/b5662-GvO96VG3zeaO.jpg,,,,,True,True,False,False
6448,1965,3.0,train,True,360.0,48,0.6666666666666666,hot_50_75,Yuusei Shounen Papii,Prince Planet,"Tells the story of a member of the Universal Peace Corps from the Planet Radion coming to Earth on a mission to determine if this world meets standards for membership in the Galactic Union of Worlds and assist its inhabitants during his stay. While on his mission Prince Planet adopts the identity of an Earth boy named Bobby and gains comrades who work together alongside him combating evil forces both alien and terrestrial. <br><br>
(Source: Wikipedia) ",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/6448.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/6448.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/6448.jpg,,,,,True,True,False,False
6535,1962,,holdout_unknown,False,1516.0,37,,,Ai,Love,"A short experimental anime about a woman desperately in love. Made by Yoji Kuri, a well-known Japanese indie animator.
",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b6535-N3wje4QfC3qX.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b6535-N3wje4QfC3qX.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/b6535-N3wje4QfC3qX.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/6535-0YNhxcv2cQlm.jpg,,,,True,True,True,False
6843,1941,1.0,train,True,617.0,46,1.0,top_75_100,Kangaroo no Tanjoubi,Baby Kangaroo's Birthday Surprise,A baby kangaroo's family and friends try to save him from a bad old wolf.  Short film from 1940.,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/6843.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/6843.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/6843.jpg,,,,,True,True,False,False
6844,1942,,holdout_unknown,False,659.0,38,,,Osaru no Sankichi: Boukuusen,,Monkeys battle polar bears in air combat.  Short film from 1942.,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b6844-Dd9cnhOqwg8h.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b6844-Dd9cnhOqwg8h.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/b6844-Dd9cnhOqwg8h.jpg,,,,,True,True,False,False
6846,1948,,holdout_unknown,False,485.0,42,,,Kuma ni Kuwarenu Otoko,,"Morality tale, musical, involving two boys who find themselves being pursued by bears in the forest.  Short film from 1948.",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/6846.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/6846.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/6846.jpg,,,,,True,True,False,False
6847,1950,,holdout_unknown,False,510.0,44,,,Gulliver Funtouki,Gulliver's Great Activities,A retelling of part of the Gulliver's Travels adventures. A short film from 1950.,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/6847.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/6847.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/6847.jpg,,,,,True,True,False,False
6848,1942,,holdout_unknown,False,469.0,41,,,Doubutsu Mura no Daisodou,,"This is the Animal Village within the forest. The Monkey Family with many children, the Bear Family, the Raccoon Family and many other animal families live happily together in this village. One night, a strong northerly wind puts the Monkey Family in panic, and the little boy bear of the Bear Family falls into the river. The Raccoon Family and the Monkey Family members all rush to the river to rescue him.<br><br>
(Source: Digital Meme)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/6848.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/6848.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/6848.jpg,,,,,True,True,False,False
6855,1964,,holdout_unknown,False,794.0,62,,,Danao Tiangong,Uproar in Heaven,"Uproar in Heaven, also known as Havoc in Heaven, is a Chinese animated feature film directed by Wan Laiming and produced by all four of the Wan brothers. The film was created at the height of the Chinese animation industry in the 1960s, and received numerous awards. It earned the brothers domestic and international recognition.<br><br>
The story is based on the earliest chapters of the classic story Journey to the West. The main character is Sun Wukong, aka the Monkey King, who rebels against the Jade Emperor of heaven.<br><br>
It became one of the most influential films in all of Asia, animation or not. Countless cartoon adaptations that followed have reused the same classic story Journey to the West, yet many consider this 1964 iteration to be the most original, fitting and memorable.",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx6855-1kBuuGUefbnD.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx6855-1kBuuGUefbnD.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx6855-1kBuuGUefbnD.jpg,,,,,True,True,False,False
6857,1943,2.0,train,True,859.0,43,0.5,warm_25_50,Momotarou no Umiwashi,,"Momotaro sends a sneak aircraft attack to sink the ships of Demon Island, using his animal companions as crew members and pilots.",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/6857.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/6857.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/6857.jpg,,,,,True,True,False,False
6950,1964,,holdout_unknown,False,978.0,31,,,Aos,,Surrealist explanation of reality. People enclosed in a room.<br>,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/6950.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/6950.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/6950.jpg,,,,,True,True,False,False
6953,1962,,holdout_unknown,False,1682.0,27,,,Ningen Doubutsuen,Human Zoo,"<i>Ningen Doubutsuen</i> is based on a poem by Shuntarou Tanikawa.
<br><br>
The film won the Special Jury Prize at Annecy in 1963 and the bronze award for animation at the 1963 Biennale in Venice. It also won the 1965 Oofuji Noburou Award.",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/6953.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/6953.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/6953.jpg,,,,,True,True,False,False
6989,1965,2.0,train,True,494.0,45,0.9,top_75_100,Uchuu Ace,Space Ace,"Dr. Tatsunoko of Tatsunoko Research Center goes undersea accompanied by his daughter Asari to inquire into some mysterious radiation and discovers there a giant shell and it is known that the radiation comes from a globe laid inside the shell. Then Asari finds an object in the shape of compact with a message in it. It says that a space alien from the Planet of Parlum which is on the verge of extinction is lying in the globe. Suddenly a boy with a strange look appears out of the globe and goes wild. He is the very person mentioned in the message with the name of Ace. His source of energy for superhuman power is what is called space food and he can fly with the help of Silver Ring made with energy collected instantly in the aerial environment. Also he is able to use it as a weapon to fight the enemy with. Supported by his friends including Asari, Ibo the robot dog, and Hermit Crab Reporter, he gallantly goes into action to settle various difficulties caused by mystic robots and brutal space invaders.",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx6989-YW7d39OwaYgd.png,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx6989-YW7d39OwaYgd.png,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx6989-YW7d39OwaYgd.png,,,,,True,True,False,False
6993,1957,2.0,train,True,1124.0,54,1.0,top_75_100,Koneko no Rakugaki,,Yasuji Mori's short about a kitten drawing pictures on a wall.,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx6993-9K3SFQJ4bIAZ.png,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx6993-9K3SFQJ4bIAZ.png,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx6993-9K3SFQJ4bIAZ.png,,,,,True,True,False,False
6994,1959,2.0,train,True,924.0,59,1.0,top_75_100,Koneko no Studio,Kitty's Studio,"The kitten from Yasuji Mori's earlier ""Koneko no Rakugai"" returns, this time putting his talents toward directing a samurai film starring his mouse friends.",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b6994-UFUeKKd9V7Ib.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b6994-UFUeKKd9V7Ib.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/b6994-UFUeKKd9V7Ib.jpg,,,,,True,True,False,False
7020,1960,,holdout_unknown,False,574.0,32,,,Fashion,,Experimental anime from animation pioneer Yoji Kuri from 1960.,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b7020-9DAqHQuuFJ8Y.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b7020-9DAqHQuuFJ8Y.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/b7020-9DAqHQuuFJ8Y.jpg,,,,,True,True,False,False
7021,1960,,holdout_unknown,False,486.0,42,,,Nihiki no Sanma,Nihiki no Sanma,Original monochrome version of a short experimental film by animation pioneer Yoji Kuri.,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b7021-hNQcwszJop0L.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b7021-hNQcwszJop0L.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/b7021-hNQcwszJop0L.jpg,,,,,True,True,False,False
7026,1965,,holdout_unknown,False,494.0,41,,,Mado,,Short experimental animation from 1965 by Yoji Kuri.,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/7026.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/7026.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/7026.jpg,,,,,True,True,False,False
7029,1965,,holdout_unknown,False,459.0,42,,,Tonari no Yarou,,Experimental short animation from 1965 from pioneer Yoji Kuri.,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/7029.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/7029.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/7029.jpg,,,,,True,True,False,False
7032,1961,,holdout_unknown,False,513.0,45,,,Kitte no Gensou,,Short experimental animation from 1961 from animation pioneer Yoji Kuri.,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b7032-W4I6JirHxy1S.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b7032-W4I6JirHxy1S.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/b7032-W4I6JirHxy1S.jpg,,,,,True,True,False,False
7501,1940,4.0,train,True,584.0,37,1.0,top_75_100,Kintarou Taiiku Nikki,,A young man in a leotard leads a group of animals in a sumo wrestling match. ,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/7501.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/7501.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/7501.jpg,,,,,True,True,False,False
7524,1946,,holdout_unknown,False,326.0,44,,,Mahou no Pen,,"A western occupation propaganda film in which a boy repairs a western style doll that comes to life and uses a magic pen to rebuild his bleak and war torn world into a happy place resembling western civilization.<br><br>
(Source: AniDB)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b7524-p3dPznT2JHJD.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b7524-p3dPznT2JHJD.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/b7524-p3dPznT2JHJD.jpg,,,,,True,True,False,False
