id,title_romaji,title_english,title_native,description,voice_actor_names,format,episodes,duration,meanScore,popularity,source,countryOfOrigin,isAdult,startDate_month,startDate_day,genres,studios,is_sequel,has_sequel,prequel_count,prequel_popularity_mean,prequel_meanScore_mean,release_year,release_quarter
2833,Gulliver no Uchuu Ryokou,Gulliver's Travels: Beyond the Moon,ガリバーの宇宙旅行,"Ted meets the aged professor Gulliver in a deep, dark forest. Accompanied by Mack the dog, a toy soldier called The General, and the Crow, the two set off on a journey to the Planet of Blue Hope in their spaceship the Gulliver.<br><br>
(Source: AniDB)",Kyuu Sakamoto,MOVIE,1.0,80.0,57,819.0,OTHER,JP,False,3.0,20.0,"[""Adventure"", ""Fantasy"", ""Sci-Fi""]","[{""id"": 5957, ""isMain"": true, ""node"": {""id"": 18, ""name"": ""Toei Animation"", ""isAnimationStudio"": true}}]",False,False,0,0.0,0.0,1965,2
3905,Wanpaku Ouji no Orochi Taiji,"Orochi, the Eight-Headed Dragon",わんぱく王子の大蛇退治,"This anime film tells the story of the god Susanoo (as a cute boy), whose mother Izanami had passed away. He was deeply hurt by the loss of his mother, but his father Izanagi told him that once she had died, she had gone to the heavens. Despite Izanagi's warnings, Susanoo eventually sets off to find her. Along with his companions Akahana (a little talking rabbit) and Taitanbo (a strong but friendly giant from the Land of Fire), Susanoo overcomes all obstacles in his long, wonderous voyage. He eventually comes to the Izumo Province, where he meets a little girl, Princess Kushinada, whom he becomes friends with (He also thought she was so beautiful that she looks like his mother Izanami). Kushinada's family tells Susanoo that their other seven daughters were sacrificed to the fearsome eight-headed serpent, the Orochi. Susanoo was so infatuated with Kushinada that he decided to help her family protect her and slay the Orochi once and for all, as he, Akahana and Taitanbo prepare for the spectacular showdown . . .<br><br>
(Source: nationmaster.com)",Morio Kazama|Setsuo Shinoda|Patricia Kobayashi|Hideo Kinoshita|Masato Yamanouchi|Kiyoshi Kawakubo|Noriko Shindou|Kinshirou Iwao|Chiharu Kuri|Yukiko Okada|Shuuichi Kazamatsuri|Mitsuko Tomobe|Kouji Koga,MOVIE,1.0,86.0,64,1843.0,UNKNOWN_SOURCE,JP,False,3.0,24.0,"[""Adventure""]","[{""id"": 7103, ""isMain"": true, ""node"": {""id"": 18, ""name"": ""Toei Animation"", ""isAnimationStudio"": true}}]",False,False,0,0.0,0.0,1963,2
3990,Kumo to Tulip,Kumo to Tulip,くもとちゅうりっぷ,"A spider attempts to lure a ladybug into his web. When she manages to escape and hide in a tulip, a storm comes that batters the spider, while the ladybug remains safe.",,MOVIE,1.0,16.0,52,1109.0,OTHER,JP,False,4.0,15.0,[],[],False,False,0,0.0,0.0,1943,2
4088,Wonder 3,The Amazing 3,ワンダースリー,"The Amazing 3 is an Osamu Tezuka manga and a black and white anime series. It involved the adventures of three agents from outer space who were sent to Earth to determine whether the planet, a potential threat to the universe, should be destroyed. The instrument of destruction is a device resembling a large black ball with two antennae that is variously called an anti-proton bomb, a solar bomb, and a neutron bomb. Although the three agents (Captain Bokko, Nokko, and Pukko) are originally humanoid in appearance, upon arrival on Earth they take on the appearances of a rabbit (Bokko), a horse (Nokko), and a duck (Pukko) that they had captured as examples of Earth life forms. While on Earth they travel in a tire-shaped vehicle capable of enormous speeds called the Big Wheel, which can travel on both land and water (and, with modifications, through the air).<br><br>
The series tackles a number of issues which were surprisingly progressive for an animated cartoon of that period; particularly ecological concerns and poverty.",Yasuo Kojima|Paulo Pinheiro|Shinsuke Chikaishi|Orlando Drummond|Fuyumi Shiraishi|Kazuko Sawada|Yoshio Kaneuchi|Lauro Fabiano|Ryouko Sakurai|Isshin Ikeda,TV,52.0,23.0,73,569.0,ORIGINAL,JP,False,6.0,6.0,"[""Action"", ""Adventure"", ""Comedy"", ""Sci-Fi""]","[{""id"": 22072, ""isMain"": false, ""node"": {""id"": 68, ""name"": ""Mushi Production"", ""isAnimationStudio"": true}}]",False,False,0,0.0,0.0,1965,3
4481,Saiyuuki,Alakazam the Great,西遊記,"Alakazam is a young and brave monkey who convinces all the other monkeys to make him their king. After attaining the throne and learning magic, he becomes so vain that he goes to heaven to challenge the gods. He is defeated by King Amo, and sentenced to serve as the bodyguard of Prince Amat in order to learn humility.
<br>
---
<br>
Osamu Tezuka was named as a director of the film by Toei Company. However, Tezuka later stated that the only time he was in the studio was to pose for publicity photos. His involvement in promoting the film, however, led to his interest in animation.


",Nobuaki Sekine|Garcia Júnior|Giuseppe Rinaldi|Noriko Shindou|Miriam Ficher|Hideo Kinoshita|José Santa Cruz|Vinicio Sofia|Setsuo Shinoda|Mauro Ramos|Sergio Tedesco|Kiyoshi Komiyama|Carlos Marques|Massimo Turci|Mario Jorge Andrade|Lauro Gazzolo,MOVIE,1.0,88.0,56,1642.0,OTHER,JP,False,8.0,14.0,"[""Adventure"", ""Fantasy""]","[{""id"": 7574, ""isMain"": true, ""node"": {""id"": 18, ""name"": ""Toei Animation"", ""isAnimationStudio"": true}}]",False,False,0,0.0,0.0,1960,3
4513,Hakujaden,Panda and the Magic Serpent,白蛇伝,"As a young boy, Xu-Xian is forced to free his pet, a small snake. Unbeknownst to him, the snake is actually a young snake goddess named Bai-Niang and she is in love with him. Many years later, when they are both adults, the princess is magically transformed into a human and sets out to find her love. But the local wizard believes her to be a vampire, and banishes Xu-Xian from the village in order to save him. Xu-Xian's pet pandas Panda and Mimi set out to save him and bring him, in the process becoming leaders of an animal gang.
<br><br>
(Source: Anime News Network)",Hisaya Morishige|Marvin Miller|Mariko Miyagi|Claire Tefnin|Lisa Lu|George Matsui|Fernando Tejeda|Virginia Blackman,MOVIE,1.0,78.0,56,2544.0,OTHER,JP,False,10.0,22.0,"[""Adventure"", ""Fantasy"", ""Romance""]","[{""id"": 7606, ""isMain"": true, ""node"": {""id"": 18, ""name"": ""Toei Animation"", ""isAnimationStudio"": true}}]",False,False,0,0.0,0.0,1958,4
4948,Shounen Sarutobi Sasuke,Magic Boy,少年猿飛佐助,"""Magic Boy"" was the first ever Japanese animation to be released theatrically in North America. <br><br>
Sasuke, a boy vexed by an evil witch, studies magic and uses his powers to defeat her. <br><br>
(Source: bcdb) ",,MOVIE,1.0,83.0,56,1090.0,ORIGINAL,JP,False,12.0,25.0,"[""Adventure"", ""Fantasy""]","[{""id"": 7920, ""isMain"": true, ""node"": {""id"": 18, ""name"": ""Toei Animation"", ""isAnimationStudio"": true}}]",False,False,0,0.0,0.0,1959,4
5052,8 Man,8 Man,エイトマン,"A private investigator working a routine case involving stolen technology is mortally wounded. His only hope for survival comes from sacrificing his humanity to become 8Man -- a powerful cyborg crime-fighter enhanced with a living human brain. Resurrected as the ultimate high-tech vigilante, it is up to 8Man to bring the lawless to justice and put an end to the escalating cycle of violence. A classic animated thriller that will leave you breathless.<br><br>
(Source: AnimeNfo.com)",Sakae Takayama|Lauro Fabiano|Miyuki Ueda|Ângela Bonatti,TV,56.0,24.0,55,888.0,MANGA,JP,False,11.0,7.0,"[""Action"", ""Drama"", ""Mecha"", ""Sci-Fi""]","[{""id"": 7974, ""isMain"": false, ""node"": {""id"": 22, ""name"": ""Nippon Animation"", ""isAnimationStudio"": true}}, {""id"": 26781, ""isMain"": false, ""node"": {""id"": 145, ""name"": ""TBS"", ""isAnimationStudio"": false}}, {""id"": 26782, ""isMain"": false, ""node"": {""id"": 489, ""name"": ""TCJ"", ""isAnimationStudio"": false}}, {""id"": 26783, ""isMain"": true, ""node"": {""id"": 191, ""name"": ""Eiken"", ""isAnimationStudio"": false}}]",False,True,0,0.0,0.0,1963,4
5662,Suteneko Tora-chan,Suteneko Tora-chan,すて猫トラちゃん,A family of cats find a homeless kitten and take him in to their home.  But one of the siblings becomes jealous about the attention the new cat gets from her mother and runs away from home.  The new member of the family goes looking for her.  Can he bring her back home safely and get her to accept him as part of the family?,,MOVIE,1.0,24.0,54,747.0,ORIGINAL,JP,False,9.0,25.0,"[""Music""]","[{""id"": 42114, ""isMain"": true, ""node"": {""id"": 18, ""name"": ""Toei Animation"", ""isAnimationStudio"": true}}]",False,True,0,0.0,0.0,1947,4
6448,Yuusei Shounen Papii,Prince Planet,遊星少年パピイ,"Tells the story of a member of the Universal Peace Corps from the Planet Radion coming to Earth on a mission to determine if this world meets standards for membership in the Galactic Union of Worlds and assist its inhabitants during his stay. While on his mission Prince Planet adopts the identity of an Earth boy named Bobby and gains comrades who work together alongside him combating evil forces both alien and terrestrial. <br><br>
(Source: Wikipedia) ",,TV,52.0,25.0,48,360.0,UNKNOWN_SOURCE,JP,False,6.0,3.0,"[""Action"", ""Sci-Fi""]","[{""id"": 8907, ""isMain"": false, ""node"": {""id"": 191, ""name"": ""Eiken"", ""isAnimationStudio"": false}}]",False,False,0,0.0,0.0,1965,3
6843,Kangaroo no Tanjoubi,Baby Kangaroo's Birthday Surprise,カンガルーの誕生日,A baby kangaroo's family and friends try to save him from a bad old wolf.  Short film from 1940.,,MOVIE,1.0,9.0,46,617.0,ORIGINAL,JP,False,2.0,15.0,"[""Adventure""]","[{""id"": 9674, ""isMain"": false, ""node"": {""id"": 6843, ""name"": ""Kun Animation & Comic"", ""isAnimationStudio"": true}}]",False,False,0,0.0,0.0,1941,1
6857,Momotarou no Umiwashi,Momotarou no Umiwashi,桃太郎の海鷲,"Momotaro sends a sneak aircraft attack to sink the ships of Demon Island, using his animal companions as crew members and pilots.",,MOVIE,1.0,37.0,43,859.0,ORIGINAL,JP,False,3.0,25.0,[],[],False,True,0,0.0,0.0,1943,2
6989,Uchuu Ace,Space Ace,宇宙エース,"Dr. Tatsunoko of Tatsunoko Research Center goes undersea accompanied by his daughter Asari to inquire into some mysterious radiation and discovers there a giant shell and it is known that the radiation comes from a globe laid inside the shell. Then Asari finds an object in the shape of compact with a message in it. It says that a space alien from the Planet of Parlum which is on the verge of extinction is lying in the globe. Suddenly a boy with a strange look appears out of the globe and goes wild. He is the very person mentioned in the message with the name of Ace. His source of energy for superhuman power is what is called space food and he can fly with the help of Silver Ring made with energy collected instantly in the aerial environment. Also he is able to use it as a weapon to fight the enemy with. Supported by his friends including Asari, Ibo the robot dog, and Hermit Crab Reporter, he gallantly goes into action to settle various difficulties caused by mystic robots and brutal space invaders.",Sumiko Shirakawa,TV,52.0,25.0,45,494.0,ORIGINAL,JP,False,5.0,8.0,"[""Action"", ""Adventure"", ""Sci-Fi""]","[{""id"": 18873, ""isMain"": true, ""node"": {""id"": 103, ""name"": ""Tatsunoko Production"", ""isAnimationStudio"": true}}]",False,False,0,0.0,0.0,1965,2
6993,Koneko no Rakugaki,Koneko no Rakugaki,こねこのらくがき,Yasuji Mori's short about a kitten drawing pictures on a wall.,,MOVIE,1.0,13.0,54,1124.0,ORIGINAL,JP,False,5.0,13.0,"[""Comedy""]","[{""id"": 9811, ""isMain"": false, ""node"": {""id"": 18, ""name"": ""Toei Animation"", ""isAnimationStudio"": true}}]",False,True,0,0.0,0.0,1957,2
6994,Koneko no Studio,Kitty's Studio,こねこのスタジオ,"The kitten from Yasuji Mori's earlier ""Koneko no Rakugai"" returns, this time putting his talents toward directing a samurai film starring his mouse friends.",Meiko Nakamura,MOVIE,1.0,16.0,59,924.0,ORIGINAL,JP,False,4.0,9.0,"[""Comedy""]","[{""id"": 21774, ""isMain"": true, ""node"": {""id"": 18, ""name"": ""Toei Animation"", ""isAnimationStudio"": true}}]",True,False,1,1124.0,54.0,1959,2
7501,Kintarou Taiiku Nikki,Kintarou Taiiku Nikki,キンタロー体育日記,A young man in a leotard leads a group of animals in a sumo wrestling match. ,,MOVIE,1.0,9.0,37,584.0,ORIGINAL,JP,False,9.0,19.0,"[""Comedy""]",[],False,False,0,0.0,0.0,1940,4
7526,Ousama no Shippo,Ousama no Shippo,王様のしっぽ,,,MOVIE,1.0,33.0,44,200.0,ORIGINAL,JP,False,10.0,16.0,"[""Fantasy""]","[{""id"": 10075, ""isMain"": false, ""node"": {""id"": 7526, ""name"": ""Qrout"", ""isAnimationStudio"": false}}]",False,False,0,0.0,0.0,1949,4
7528,Kujira (1952),Kujira (1952),くじら,"Remake of Oofuji's earlier film (1927).<br><br>
(Source: AniDB)",,MOVIE,1.0,8.0,45,861.0,ORIGINAL,JP,False,12.0,16.0,"[""Fantasy""]","[{""id"": 10077, ""isMain"": false, ""node"": {""id"": 7528, ""name"": ""SHINE Partners"", ""isAnimationStudio"": false}}]",False,False,0,0.0,0.0,1952,4
7529,Mori no Ongakukai,Mori no Ongakukai,森の音楽会,"During a concert in the forest, the big bad wolf begins to annoy the other animals with his foul smoking, noisy interruptions and destruction of the grounds. The other animals band together and eject the wolf for poor manners.",,MOVIE,1.0,9.0,44,251.0,ORIGINAL,JP,False,3.0,16.0,"[""Comedy""]","[{""id"": 10078, ""isMain"": false, ""node"": {""id"": 7529, ""name"": ""Tokyo Sogensha"", ""isAnimationStudio"": false}}]",False,False,0,0.0,0.0,1953,2
7530,Hana to Chou,Hana to Chou,花と蝶,"An early color animation which uses the color to help tell the story. Three butterflies save a bird that falls out of it's nest during a rainstorm. The butterflies decide to ask the flowers for cover, but the red rose will only help the red butterfly since they are the same color.",,MOVIE,1.0,10.0,42,615.0,ORIGINAL,JP,False,10.0,16.0,"[""Fantasy""]","[{""id"": 10079, ""isMain"": false, ""node"": {""id"": 7530, ""name"": ""AmiAmi"", ""isAnimationStudio"": false}}]",False,False,0,0.0,0.0,1954,4
7531,Onbu Obake,Onbu Obake,おんぶおばけ,Short movie by Ryuuichi Yokoyama.,,MOVIE,1.0,23.0,44,236.0,ORIGINAL,JP,False,12.0,26.0,"[""Supernatural""]",[],False,False,0,0.0,0.0,1955,4
7532,Kuroi Kikori to Shiroi Kikori,The Black Woodcutter and the White Woodcutter,黒いきこりと白いきこり,"On a winter's night a bear, a fox and a squirrel seek refuge from the cold. They are drawn by the hearths in the homes of two woodcutters. One man treats them poorly, while the other welcomes them.<br><br>

(Source: Anime News Network)",,MOVIE,1.0,15.0,56,565.0,ORIGINAL,JP,False,7.0,1.0,"[""Fantasy""]","[{""id"": 10081, ""isMain"": false, ""node"": {""id"": 7532, ""name"": ""Dreamusic"", ""isAnimationStudio"": false}}]",False,False,0,0.0,0.0,1956,3
7610,Anju to Zushioumaru,Anju to Zushioumaru,安寿と厨子王丸,"After their father quarrels with local military men, Anju and Zushio are forced to flee, but they are captured and sold into slavery. When their mother dies, they are sold to Sansho the Bailiff, a cruel man who subjects them to hideous torments.<br>
While Anju falls into a lake and is transformed into a swan, Zushio escapes and after being adopted to a nobleman grows to a young man. He will then fight to defeat the evil Dayu and free all the slaves.<br><br>
(Source: AniDB)",Tomoko Matsushima|Timm Mehrens|Morio Kazama|Tooru Oohira|Masao Mishima|Reiko Mutou|Eijirou Touno|Yoshiko Sakuma|Yasushi Nagata|Nakajirou Tomita|Jou Mizuki|Mikijiro Hira|Junya Usami|Sou Yamamura|Isuzu Yamada,MOVIE,1.0,83.0,61,1466.0,UNKNOWN_SOURCE,JP,False,7.0,19.0,"[""Fantasy""]","[{""id"": 10122, ""isMain"": false, ""node"": {""id"": 18, ""name"": ""Toei Animation"", ""isAnimationStudio"": true}}]",False,False,0,0.0,0.0,1961,3
7621,Chuumon no Ooi Ryouriten,The Restaurant of Many Orders,注文の多い料理店,The oldest anime adaptation of a famous short story by Japanese writer Kenji Miyazawa. Two young British hunters get lost in the woods and discover a strange restaurant.,,MOVIE,1.0,18.0,52,669.0,OTHER,JP,False,11.0,16.0,"[""Supernatural""]","[{""id"": 33550, ""isMain"": false, ""node"": {""id"": 198, ""name"": ""Gakken"", ""isAnimationStudio"": false}}]",False,False,0,0.0,0.0,1958,4
7786,Arabian Nights: Sindbad no Bouken,Arabian Nights: Sinbad's Adventures,アラビアンナイト・シンドバッドの冒険,"This is a work by Toei Animation Co., Ltd. with screenplay by Tezuka Osamu in cooperation with novelist Kita Morio. Sinbad and a boy, Ali, are stowaways on the transport ship ""Boulder,"" but they win their proper places on the ship after currying the favor of the captain. Then the beautiful princess Samir jumps on board to escape a wicked minister who wants to marry her, and Sinbad goes through a series of adventures to protect the princess. The story unfolds with ups and downs, full of dramatic episodes from the original story such as a rough-and-tumble battle with a strange bird that is guarding diamonds.<br>
(Source: <a href=""http://ja.tezuka.co.jp/anime/sakuhin/mv/mv002.html"" target=""_blank"">http://ja.tezuka.co.jp/anime/sakuhin/mv/mv002.html</a> )",,MOVIE,1.0,81.0,48,806.0,OTHER,JP,False,6.0,16.0,"[""Action"", ""Adventure"", ""Fantasy""]","[{""id"": 10254, ""isMain"": false, ""node"": {""id"": 18, ""name"": ""Toei Animation"", ""isAnimationStudio"": true}}]",False,False,0,0.0,0.0,1962,3
8041,Sennin Buraku,Hermit Village,仙人部落,"The ancient Chinese town of Taoyuan is populated exclusively by Taoist ascetics. The elder, Lao Shi, conducts research on magic and alchemy, while his pupil Zhi Huang is more interested in the pleasures of the flesh. He fell in love with three beautiful sisters who live close by.",,TV_SHORT,23.0,15.0,46,445.0,MANGA,JP,False,9.0,4.0,"[""Comedy"", ""Ecchi""]","[{""id"": 10337, ""isMain"": true, ""node"": {""id"": 191, ""name"": ""Eiken"", ""isAnimationStudio"": false}}]",False,False,0,0.0,0.0,1963,4
8774,Mittsu no Hanashi,Mittsu no Hanashi,新しい動画 3つのはなし,"One of the first anime ever televised. It comprises of three stories: ""The Third Plate"" (第三の皿), ""Oppel and the Elephant"" (オッペルと象), and ""Sleepy Town"" (眠い町).",,SPECIAL,1.0,30.0,39,398.0,OTHER,JP,False,1.0,15.0,"[""Fantasy""]","[{""id"": 10839, ""isMain"": false, ""node"": {""id"": 111, ""name"": ""NHK"", ""isAnimationStudio"": false}}]",False,False,0,0.0,0.0,1960,1
8879,Dolphin Ouji,Dolphin Ouji,ドルフィン王子,"Produced as a short experimental trial series of only 3 episodes and filmed in black and white, Dolphin Prince aired on Fuji TV on Sundays at 7.30pm. The episodes featured young Dolphin Prince, his mermaid friend Neptuna and Dr. Mariner, with stories entitled ""Secret Of The Red Vortex"", ""Call Of The Sea"" and ""Attack Of The Sea-Star People"".<br><br>
(Source: Wikipedia)",,TV,3.0,23.0,51,228.0,UNKNOWN_SOURCE,JP,False,4.0,4.0,"[""Action"", ""Adventure"", ""Sci-Fi""]","[{""id"": 10894, ""isMain"": false, ""node"": {""id"": 169, ""name"": ""Fuji TV"", ""isAnimationStudio"": false}}]",False,True,0,0.0,0.0,1965,2
9228,Wan Wan Chuushingura,Wan Wan Chuushingura,わんわん忠臣蔵,"The homeless dog Rock swears to take to revenge on a tiger named Killer in the zoo, who had killed his mother. The dogs in town, troubled by the atrocities of Killer, join forces to support Rock. Changing the target of revenge to the murderer of the main character's mother made it easier for kids to empathize with the character.<br><br>
(Source: AnimeNfo)",Makiko Itou|Yoshiko Yamamoto|Junko Hori|Kou Nishimura|Hideo Kinoshita|Yoshihisa Kamo|Fumitake Oomura|Chiyoko Honma|Ranko Mizuki|Hideo Satou|Kazuko Yoshikawa,MOVIE,1.0,81.0,59,863.0,UNKNOWN_SOURCE,JP,False,12.0,21.0,"[""Action"", ""Adventure"", ""Drama""]","[{""id"": 11107, ""isMain"": false, ""node"": {""id"": 18, ""name"": ""Toei Animation"", ""isAnimationStudio"": true}}]",False,False,0,0.0,0.0,1963,4
